region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,Commit,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,LDS
NENGREST,1,NENGREST_biomass_1,other_renewables,0,1,1,1,1,0,0,0,0,0,0,0,0.93,1,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,346598,149833,0,0,0,0,4.885,0,0,0,0,None,0.45,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,10,0,0,0,0
NENGREST,1,NENGREST_conventional_hydroelectric_1,other_renewables,0,2,1,0,0,0,1,0,0,0,0,0,0.8,0,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,612260,151000,0,0,0,0,0,0,0,0,0,None,0.116,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,4,0,0,0,0
NENGREST,1,NENGREST_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,0,3,1,0,0,1,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,612260,17600,0,0,0,0,0.5,0,0,0,0,None,0.532,0,0.866,0.866,158.730159,0,200,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,11,0,0,0,0
NENGREST,1,NaturalGas_CCAvgCF_Moderate,natural_gas,1,4,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,96838,27300,0,0,0,0,2,0,103,2,7.43,new_england_reference_naturalgas,0.468,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,2,0,0,0,0
NENGREST,1,NaturalGas_CTAvgCF_Moderate,natural_gas,1,5,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,76441,20900,0,0,0,0,5,0,134,3.5,10.13,new_england_reference_naturalgas,0.456,0,1,1,1,0,0,0,0,1,0.64,0.64,1,1,0.315,0.63,0,0,3,0,0,0,0
NENGREST,1,NaturalGas_CCCCSAvgCF_Moderate,natural_gas,1,6,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,141556,60400,0,0,0,0,6,0,103,0,7.159,new_england_reference_naturalgas_ccs90,0.456,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,2,0,0,0,0
NENGREST,1,NaturalGas_CCS100_Moderate,natural_gas,1,7,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,177850,65099,0,0,0,0,6,0,103,0,7.524,new_england_reference_naturalgas_ccs100,0.456,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,2,0,0,0,0
NENGREST,1,NENGREST_nuclear_1,nuclear,1,8,1,1,1,0,0,0,0,0,0,0,0.93,0,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,582096,144000,0,0,0,0,2.32,0,245,0,10.46,new_england_uranium,0.5,0,1,1,1,0,0,0,0,1,0.25,0.25,24,24,0.020833333,0.041666667,0,0,5,0,0,0,0
NENGREST,1,OffShoreWind_Class3_Moderate_fixed_1,offshore_wind,1,9,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,377318,65701,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,8,0,0,0,0
NENGREST,1,LandbasedWind_Class3_Moderate_130,onshore_wind,1,10,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,87928,33107,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,6,0,0,0,0
NENGREST,1,UtilityPV_Class1_Moderate_100_0.2,solar,1,11,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,53152,14986,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,7,0,0,0,0
NENGREST,1,Liion_Moderate,Battery_mid,0,12,1,0,0,1,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,15219,4536,8524,2541,0,0,0,0.15,0,0,0,None,0,0,0.92,0.92,1,1,4,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,12,0,0,0,0
NENGREST,1,TEGS,TEGS_mid,0,13,1,0,0,2,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,-1,23419,5855,1026,256,0,0,0,0.15,0,0,0,None,0,0.0004167,0.99,0.5,1,1,30,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,12,0,0,0,0