Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,,,,,,
Liion_Moderate,1,1,1,0,0,0,-1,-1,0,0,,,,,,,,,0,0.92,0.92,1,10,0,0,0,0,NE,0,,,,,,
NENGREST_hydroelectric_pumped_storage_1,1,1,1,0,0,0,-1,-1,0,0,,,,,,,,,0,0.92,0.92,1,10,0,0,0,0,NE,0,,,,,,
TEGS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346598,149833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612260,151000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612260,17600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96838,27300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76441,20900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141556,60400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177850,65099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582096,144000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377318,65701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87928,33107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53152,14986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15219,4536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23419,5855